latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
45.809,131.21,308.3,1,1,2021-08-31,0210,T,65,6.1NRT,294.5,5.8,D
44.719,132.057,312.5,1,1,2021-08-31,0210,T,55,6.1NRT,295.6,7.9,D
44.68,130.551,306.8,1,1,2021-08-31,0210,T,50,6.1NRT,294.7,4.9,D
35.243,128.146,318.7,1,1,2021-08-31,0210,T,27,6.1NRT,295.2,9.1,D
34.521,132.503,319.2,1.2,1.1,2021-08-31,0210,T,21,6.1NRT,301,12.2,D
34.389,133.066,316.3,1.3,1.1,2021-08-31,0210,T,0,6.1NRT,299.4,10,D
34.232,132.62,317.6,1.3,1.1,2021-08-31,0210,T,26,6.1NRT,300.1,11.7,D
34.229,132.633,317.6,1.3,1.1,2021-08-31,0210,T,43,6.1NRT,299.8,12.6,D
34.209,132.223,316.3,1.2,1.1,2021-08-31,0210,T,0,6.1NRT,299.8,9.8,D
34.247,131.188,308.3,1.1,1,2021-08-31,0210,T,39,6.1NRT,292,4.8,D
34.023,132.164,311.6,1.2,1.1,2021-08-31,0210,T,61,6.1NRT,296.4,6.3,D
34.141,130.917,313.3,1.1,1,2021-08-31,0210,T,29,6.1NRT,295.6,7.5,D
33.958,131.944,317.7,1.2,1.1,2021-08-31,0210,T,0,6.1NRT,300.8,11.9,D
34.022,131.196,319.6,1.1,1,2021-08-31,0210,T,26,6.1NRT,297.1,10.7,D
33.924,130.777,336.6,1.1,1,2021-08-31,0210,T,0,6.1NRT,297.2,30.5,D
33.767,130.997,319,1.1,1,2021-08-31,0210,T,0,6.1NRT,298.9,10.8,D
33.609,131.506,314.5,1.1,1.1,2021-08-31,0210,T,62,6.1NRT,296.4,8,D
33.578,130.785,319.1,1.1,1,2021-08-31,0210,T,28,6.1NRT,298.8,9.7,D
33.347,130.736,325.5,1.1,1,2021-08-31,0210,T,79,6.1NRT,302.3,13.7,D
33.345,130.748,322.5,1.1,1,2021-08-31,0210,T,57,6.1NRT,302.9,10,D
33.222,131.25,310,1.1,1.1,2021-08-31,0210,T,38,6.1NRT,295.7,6.2,D
33.212,130.658,316.8,1.1,1,2021-08-31,0210,T,47,6.1NRT,302.7,9.8,D
33.071,130.549,313.3,1.1,1,2021-08-31,0210,T,21,6.1NRT,299,5.3,D
33.045,130.432,324.6,1.1,1,2021-08-31,0210,T,16,6.1NRT,303.3,7.8,D
33.01,130.47,321.3,1.1,1,2021-08-31,0210,T,54,6.1NRT,301.1,10.2,D
32.988,130.606,318.9,1.1,1,2021-08-31,0210,T,69,6.1NRT,300.8,9.5,D
32.924,130.936,311.7,1.1,1.1,2021-08-31,0210,T,32,6.1NRT,296.7,6.5,D
32.922,130.947,312.9,1.1,1.1,2021-08-31,0210,T,53,6.1NRT,294.3,7.9,D
32.914,130.934,311.5,1.1,1.1,2021-08-31,0210,T,20,6.1NRT,296.4,5.7,D
32.891,130.744,322.5,1.1,1,2021-08-31,0210,T,45,6.1NRT,304.1,9.4,D
32.831,130.874,320.4,1.1,1,2021-08-31,0210,T,69,6.1NRT,302.6,8.9,D
32.286,130.48,324.1,1.1,1,2021-08-31,0210,T,60,6.1NRT,299,16.4,D
32.226,130.728,320.2,1.1,1.1,2021-08-31,0210,T,40,6.1NRT,303.9,10.8,D
32.224,130.74,323.1,1.1,1.1,2021-08-31,0210,T,51,6.1NRT,302.9,12.6,D
32.229,130.438,317.7,1.1,1,2021-08-31,0210,T,60,6.1NRT,300,9.8,D
32.216,130.4,333.6,1.1,1,2021-08-31,0210,T,75,6.1NRT,303.3,27.9,D
32.207,130.398,317.6,1.1,1,2021-08-31,0210,T,45,6.1NRT,302.9,8.6,D
31.904,131.342,325.4,1.2,1.1,2021-08-31,0210,T,79,6.1NRT,301.1,21.2,D
33.471,116.183,310.2,4.7,2,2021-08-31,0210,T,33,6.1NRT,290.5,37.2,D
